Unnamed: 0,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,duration_value,"duration_type",duration_type
0,s1,movie,dick johnson is dead,kirsten johnson,,united states,2021-09-25,2020,pg-13,90 min,documentaries,"as her father nears the end of his life, filmmaker kirsten johnson stages his death in inventive and comical ways to help them both face the inevitable.",2021.0,September,90.0,"min",min
1,s2,tv show,blood & water,nan,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",south africa,2021-09-24,2021,tv-ma,2 Seasons,"international tv shows, tv dramas, tv mysteries","after crossing paths at a party, a cape town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",2021.0,September,2.0,"Seasons",Seasons
2,s3,tv show,ganglands,julien leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",nan,2021-09-24,2021,tv-ma,1 Season,"crime tv shows, international tv shows, tv action & adventure","to protect his family from a powerful drug lord, skilled thief mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",2021.0,September,1.0,"Season",Season
3,s4,tv show,jailbirds new orleans,nan,,nan,2021-09-24,2021,tv-ma,1 Season,"docuseries, reality tv","feuds, flirtations and toilet talk go down among the incarcerated women at the orleans justice center in new orleans on this gritty reality series.",2021.0,September,1.0,"Season",Season
4,s5,tv show,kota factory,nan,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",india,2021-09-24,2021,tv-ma,2 Seasons,"international tv shows, romantic tv shows, tv comedies","in a city of coaching centers known to train india’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",2021.0,September,2.0,"Seasons",Seasons
5,s6,tv show,midnight mass,mike flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",nan,2021-09-24,2021,tv-ma,1 Season,"tv dramas, tv horror, tv mysteries","the arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",2021.0,September,1.0,"Season",Season
6,s7,movie,my little pony: a new generation,"robert cullen, josé luis ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",nan,2021-09-24,2021,pg,91 min,children & family movies,"equestria's divided. but a bright-eyed hero believes earth ponies, pegasi and unicorns should be pals — and, hoof to heart, she’s determined to prove it.",2021.0,September,91.0,"min",min
7,s8,movie,sankofa,haile gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","united states, ghana, burkina faso, united kingdom, germany, ethiopia",2021-09-24,1993,tv-ma,125 min,"dramas, independent movies, international movies","on a photo shoot in ghana, an american model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",2021.0,September,125.0,"min",min
8,s9,tv show,the great british baking show,andy devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",united kingdom,2021-09-24,2021,tv-14,9 Seasons,"british tv shows, reality tv","a talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the u.k.'s best.",2021.0,September,9.0,"Seasons",Seasons
9,s10,movie,the starling,theodore melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",united states,2021-09-24,2021,pg-13,104 min,"comedies, dramas",a woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,2021.0,September,104.0,"min",min
10,s11,tv show,"vendetta: truth, lies and the mafia",nan,,nan,2021-09-24,2021,tv-ma,1 Season,"crime tv shows, docuseries, international tv shows","sicily boasts a bold ""anti-mafia"" coalition. but what happens when those trying to bring down organized crime are accused of being criminals themselves?",2021.0,September,1.0,"Season",Season
11,s12,tv show,bangkok breaking,kongkiat komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",nan,2021-09-23,2021,tv-ma,1 Season,"crime tv shows, international tv shows, tv action & adventure","struggling to earn a living in bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",2021.0,September,1.0,"Season",Season
12,s13,movie,je suis karl,christian schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová","germany, czech republic",2021-09-23,2021,tv-ma,127 min,"dramas, international movies","after most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",2021.0,September,127.0,"min",min
